subject,predicate,object
Precision Engineering: Career Conversion Programme,for_role,Advanced Manufacturing Engineer/Assistant Engineer (PMET)
Customer,inquired_about,application process for the Precision Engineering: Career Conversion Programme
Draft course application,located_on,Training Partners Gateway
Error,prevents,changes on the page
Customer,unable_to_edit,lectures in a draft course application
Customer,cites_discrepancies_in,payroll records
Customer,cites_discrepancies_in,outstanding amount
Customer,objects_to,Skills Development Levy Notice of Assessment for YA2023
Customer,disputes,notice of unpaid Skills Development Levy
Payment,made_via,Paynow with specific case reference
Customer,requests,confirmation and prompt response
Customer,made_payment_via,Paynow for Skills Development Levy
Customer,received,reminder for outstanding payment
Customer,requested_to_speak_with,a career officer
Customer,seeks,employment assistance
Client,began_contributing_to,Skills Development Levy in October 2022
Levy objection,due_to,client's overseas trip
Customer,inquires_about,Skills Development Levy objection
Client,worked_in,abroad and in Singapore
Customer,received,missed call from in-charge Ben
Customer,has_resubmitted,the application
Course cancellation,occurred_without,customer's action
Claim,rejected_by,National Trades Union Congress learning hub
Customer,requests,urgent investigation and response
Skills Development Levy,associated_with,automatic generation and payment with Central Provident Fund
Customer,queries_reason_for,outstanding Skills Development Levy
Customer,seeks,explanation and guidance to prevent future issues
Postnatal courses,accessed_through,MYSF
Customer,inquired_about,available postnatal courses
Communication,for_assistance_with,Career Builder
Customer,requests,urgent communication with a Mandarin-speaking officer
Customer,made_payment_via,Paynow
Customer,received,Skills Development Levy reminder
Customer,wants_to_inform,SkillsFuture Singapore about the payment
Payment method,includes,PayNow/Bank Transfer
Customer,made_payment,despite receiving Notice of Assessment reminder
Customer,queries_about,confirming payment receipt by SkillsFuture Singapore
Customer,received,Notice of Assessment reminder
Customer,inquiring_about,reason for rejection of absentee payroll grant(s)
Customer,received,email notification regarding rejection
Customer,requested_to_speak_with,Customer Service Officer Kanages
Customer,notes,monthly contributions through Central Provident Fund for local employees
Customer,queries_calculation_of,Skills Development Levy amount
Customer,received,Skills Development Levy outstanding letter
Customer,inquired_about,outstanding Skills Development Levy letter
Customer,requests_information_on,refunds for overpaid amounts
Customer,seeks_information_on,how to object
Customer,requests_cancellation_of,Ingeus appointment
Customer,seeks,new appointment with Workforce Singapore
Customer,uncomfortable_with,submitting CPF records
Payment,for,Skills Development Levy
Payment,made_via,Pay Now
Reminder notice,received_after,payment
Customer,requests_clarification_on,payment status
Customer,inquires_about,paying the monthly Skills Development Levy via GIRO for employees
Customer,requests,form for GIRO setup
Customer,inquires_about,difference between e-learning synchronous and asynchronous methods
Customer,preparing_to_create,course runs
e-certificate record,contains,incorrect information
Incorrect information,in,specific course run
Requester,requests_to_void,e-certificate record
Customer,aims_to_verify,email authenticity
Customer,received,grant rejection notification
Customer,seeks_guidance_on,logging into the Enterprise Jobs and Skills Portal
Customer,appreciates_assistance_from,Workforce Singapore and SkillsFuture Singapore
Customer,completes,required module for career progression
Customer,requests_uploading_of,Advanced Certificate in Security
Customer,cannot_cancel,herself
Customer,seeks_guidance_on,cancelling a SkillsFuture Credit claim
Course,starts_on,today
Customer,follows_up_on,missing Retail Management full qualification title in learner's SkillsPassport
Retail Management full qualification title,is_missing_in,learner's SkillsPassport
Customer,mentions,previous updates
Customer,inquiring_about,reason for underpayment
Customer,received,rejection email regarding absentee payroll
Customer,made_payment_for,2022 Skills Development Levy
Customer,received,reminder for the 2022 Skills Development Levy
Payments,based_on,Singapore Citizen and Permanent Resident employees
Customer,inquires_about,Skills Development Levy computation
Customer,receives_notice_of,outstanding levy despite consistent payments
Customer,inquired_about,advertising job interviews at McDonald's via a mobile lorry
Customer,unable_to_reach,Mandarin-speaking Customer Service Officer for two days
Customer,paid,after the first notice
Customer,received,reminder for the Skills Development Levy Notice of Assessment
Traqom survey reception,indicates,potential issue with survey distribution
Customer,received,Traqom survey for a second time years after completing the course
Customer,inquired_about,application process for the Career Trial program
Customer,asks_about_applicability,to foreign employees
Skills Development Levy,computed_via,CPF
Customer,inquires_reason_for,receiving a Notice of Assessment for Skills Development Levy
Use of same reference number,causes,confusion
Customer,made_payments_for,Skills Development Levy for 2022 and 2023
Customer,used_same_reference_number_for,both payments
Customer,claims_discrepancies_with,their records
Customer,queries,amount in Skills Development Levy Notice of Assessment
Customer,inquires_about,rejection of Absentee Payroll for two Workplace Skills Qualification courses
Customer,seeks_clarification_on,email received regarding the denial
Appointment purpose,is_to_assist_with,employment search
Customer,may_reschedule,Appointment if necessary
Customer,requests_to_book,appointment with a Career Coach
Appointment,scheduled_on,"October 30, 2023, from 2pm to 3pm"
Appeal,for_re-approval_of,grant for Mr. <PERSON>
Mr. <PERSON>,has_passed,the exam
Grant,related_to,Training Grant System and specific course run
Organisation Registration application,associated_with,SkillsFuture Singapore
Sample copy,for_use_in,Organisation Registration application
Customer,inquired_about_obtaining,sample copy of policy and operational menu
LCT SkillsFuture Singapore EMP case,involves,VROOM VROOM OFFICE SERVICES
Customer,inquired_about,Occupational Progressive Wages courses for administrators/drivers
Customer,inquired_about,mandatory sectors
Customer,inquired_about,enrollment requirements
Customer's enquiry,was_addressed_by,another Customer Service Officer
Course,ended_in,May-22
Customer,received,rejection email for an Absentee Payroll funding claim
Absentee Payroll funding claim,submitted_via,Enterprise Jobs and Skills Portal
Customer,confirms_payment_of,Skills Development Levy via PayNow
Payment,referenced_to,Notice of Assessment dated 23 Oct 2023
Customer,requests,acknowledgment of receipt
Customer,accounts_for,all employees monthly
Paid amount,exceeds,payable amount
Customer,queries_discrepancy_in,Skills Development Levy for 2022
Customer,received,outstanding payment letter
Customer,attended,a course
Customer,inquired_about_eligibility_for,$100 Training Commitment Award
Customer,reported_issues_accessing,Workfare e-Service
Customer,received,Notice of Assessment reminder without payment details
Customer,seeks_guidance_on,how to settle the payment
Absentee Payroll Grant status,found_under,Completed
Course,provided_by,NEA and Temasek Skillsfuture Academy
Customer,seeks_to_change_status_to,Pending due to uncontactable training provider
Customer's Absentee Payroll Grant,status_changed_to,Cancelled
Absentee Payroll Funding claim,involves,three courses
Withdrawal option,not_available_for,Customer
Customer,requests_assistance_to,resolve issue
Claim status,stuck_on,processing
Customer,unable_to_change,training dates for claiming Absentee Payroll Funding
Customer,asserts,payments were made promptly each month
Customer,requests,staff-wise breakdown of the Skills Development Levy payments for 2022
Customer,cites,short contributions for foreign workers
Customer,disputes,Skills Development Levy calculations for 2022 and 2023
Customer,requests_review,to facilitate outstanding payment resolution
Customer,inquires_about,status of the payment
Customer,inquires_about,notice of assessment
Customer,made_payment_via,bank transfer
Customer,received_reminder_for,Skills Development Levy
